Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,25.78,25.82,25.47,25.79,31833300,25.79
2013-12-31,25.81,26.04,25.77,25.96,22808100,25.96
2013-12-30,25.67,25.85,25.60,25.85,19787200,25.85
2013-12-27,25.75,25.80,25.48,25.60,12970600,25.60
2013-12-26,25.43,25.70,25.43,25.70,16957000,25.70
2013-12-24,25.38,25.62,25.35,25.43,12157900,25.43
2013-12-23,25.27,25.43,25.18,25.32,28068000,25.32
2013-12-20,25.11,25.35,25.04,25.06,55380100,25.06
2013-12-19,25.12,25.24,24.89,25.14,31880600,25.14
2013-12-18,24.71,25.20,24.53,25.15,42680500,25.15
2013-12-17,24.42,24.77,24.38,24.66,28158500,24.66
2013-12-16,24.33,24.71,24.33,24.45,25061100,24.45
2013-12-13,24.21,24.49,24.16,24.29,20631200,24.29
2013-12-12,24.72,24.89,24.42,24.47,21917800,24.47
2013-12-11,24.74,24.88,24.40,24.42,24682400,24.42
2013-12-10,24.89,24.97,24.66,24.82,18203700,24.82
2013-12-09,24.84,25.08,24.68,24.93,29614700,24.93
2013-12-06,24.97,25.25,24.75,24.82,53871400,24.82
2013-12-05,23.82,24.35,23.75,24.26,45399100,24.26
2013-12-04,23.52,23.85,23.52,23.74,43466600,23.74
