Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,76.11,76.16,75.40,75.94,1355700,75.94
2013-12-31,76.55,76.76,76.08,76.32,1040800,76.32
2013-12-30,76.63,76.84,76.24,76.57,838100,76.57
2013-12-27,76.36,76.89,75.99,76.09,698400,76.09
2013-12-26,76.21,76.71,75.98,76.35,581300,76.35
2013-12-24,76.50,76.57,76.22,76.42,393500,76.42
2013-12-23,75.65,76.65,75.50,76.32,1362000,76.32
2013-12-20,75.98,76.33,75.25,75.28,6408300,75.28
2013-12-19,75.97,76.21,75.52,75.69,1879200,75.69
2013-12-18,74.40,75.82,74.02,75.81,2327400,75.81
2013-12-17,74.98,75.05,74.53,74.69,1652700,74.69
2013-12-16,74.98,75.47,74.61,74.86,2071200,74.86
2013-12-13,74.62,75.25,74.58,75.02,1698100,75.02
2013-12-12,74.37,74.61,73.72,74.23,1639200,74.23
2013-12-11,75.25,75.60,74.46,74.53,1747400,74.53
2013-12-10,75.51,75.62,74.25,75.00,2112100,75.00
2013-12-09,74.87,74.91,74.12,74.40,1631900,74.40
2013-12-06,74.77,75.03,74.27,74.91,1463400,74.91
2013-12-05,74.21,74.38,73.84,74.01,1424800,74.01
2013-12-04,73.82,74.55,73.47,74.34,1548700,74.34
