Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,48.58,49.15,48.54,48.80,2152700,48.80
2013-12-31,48.99,49.41,48.83,49.03,1699800,49.03
2013-12-30,48.99,49.14,48.68,49.00,1361800,49.00
2013-12-27,49.46,49.46,48.90,49.04,1382000,49.04
2013-12-26,49.23,49.36,49.01,49.24,1448900,49.24
2013-12-24,48.85,49.40,48.76,49.12,1190400,49.12
2013-12-23,48.56,49.42,48.48,48.88,2698500,48.88
2013-12-20,49.05,49.20,48.30,48.35,5802000,48.35
2013-12-19,49.23,49.32,48.49,48.85,4452200,48.85
2013-12-18,48.69,49.52,48.26,49.49,6179500,49.49
2013-12-17,48.22,48.59,47.76,48.36,5333100,48.36
2013-12-16,48.08,48.75,47.47,48.38,7539200,48.38
2013-12-13,46.40,48.24,46.27,47.83,7677500,47.83
2013-12-12,46.10,46.45,45.81,46.18,2100000,46.18
2013-12-11,47.00,47.25,46.09,46.23,2722900,46.23
2013-12-10,46.76,47.17,46.55,46.87,3912700,46.87
2013-12-09,46.54,46.97,46.45,46.82,2639300,46.82
2013-12-06,46.45,46.54,46.13,46.44,4774200,46.44
2013-12-05,45.90,46.19,45.76,46.07,2870400,46.07
2013-12-04,46.14,46.38,45.38,46.01,3928500,46.01
