Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,17.60,17.67,17.47,17.60,3238000,17.60
2013-12-31,17.60,17.81,17.56,17.70,3670800,17.70
2013-12-30,17.38,17.61,17.37,17.57,2531600,17.57
2013-12-27,17.44,17.49,17.32,17.42,1772500,17.42
2013-12-26,17.16,17.35,17.15,17.33,2314600,17.33
2013-12-24,16.96,17.19,16.96,17.19,855900,17.19
2013-12-23,17.03,17.05,16.80,17.00,3837000,17.00
2013-12-20,16.85,16.97,16.77,16.90,5970200,16.90
2013-12-19,16.83,16.99,16.73,16.78,3179000,16.78
2013-12-18,16.42,16.84,16.30,16.82,3959300,16.82
2013-12-17,16.43,16.58,16.31,16.37,3870700,16.37
2013-12-16,16.55,16.67,16.43,16.43,4055800,16.43
2013-12-13,16.70,16.81,16.49,16.50,3619700,16.50
2013-12-12,16.70,16.88,16.67,16.68,2955000,16.68
2013-12-11,17.06,17.08,16.74,16.76,3183300,16.76
2013-12-10,17.08,17.31,17.03,17.06,3628100,17.06
2013-12-09,16.94,17.12,16.88,17.11,3540500,17.11
2013-12-06,16.87,16.97,16.78,16.88,3685400,16.88
2013-12-05,16.98,16.99,16.74,16.77,4453100,16.77
2013-12-04,16.85,17.15,16.72,16.99,5499900,16.99
