Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,61.25,61.70,61.12,61.24,1916200,61.24
2013-12-31,61.69,61.85,61.26,61.60,1446100,61.60
2013-12-30,61.33,61.97,61.19,61.77,1434500,61.77
2013-12-27,61.21,61.43,60.97,61.17,1190400,61.17
2013-12-26,61.10,61.40,60.65,61.16,919000,61.16
2013-12-24,60.78,61.26,60.71,60.86,744100,60.86
2013-12-23,60.48,61.15,60.21,60.96,1921500,60.96
2013-12-20,59.27,60.39,59.05,60.12,2873300,60.12
2013-12-19,58.54,59.30,58.51,59.15,1713700,59.15
2013-12-18,57.76,59.05,57.42,58.96,2540500,58.96
2013-12-17,57.96,58.11,57.28,57.44,1861600,57.44
2013-12-16,57.11,58.08,57.03,57.79,1810200,57.79
2013-12-13,57.20,57.43,56.74,56.82,2094700,56.82
2013-12-12,56.19,57.15,56.14,56.92,2708700,56.92
2013-12-11,56.66,56.78,55.95,56.01,2755500,56.01
2013-12-10,56.54,57.08,56.44,56.67,2048500,56.67
2013-12-09,55.81,56.99,55.73,56.81,2473100,56.81
2013-12-06,56.65,57.09,56.29,56.69,3124300,56.69
2013-12-05,55.76,56.07,55.57,55.76,3450000,55.76
2013-12-04,55.64,56.13,55.35,55.90,3497100,55.90
