Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,383.64,383.64,378.27,380.01,460900,380.01
2013-12-31,382.20,384.39,378.09,384.08,353600,384.08
2013-12-30,379.94,383.55,377.93,383.07,326500,383.07
2013-12-27,374.26,383.54,373.47,379.99,420600,379.99
2013-12-26,372.35,375.75,370.00,374.78,397200,374.78
2013-12-24,371.22,374.50,369.14,370.96,185600,370.96
2013-12-23,365.01,373.09,363.62,371.21,478100,371.21
2013-12-20,359.17,364.97,357.00,364.35,1054700,364.35
2013-12-19,359.41,361.54,355.25,359.10,409900,359.10
2013-12-18,356.52,362.81,354.50,361.24,552600,361.24
2013-12-17,360.86,364.00,351.14,355.93,750700,355.93
2013-12-16,363.97,369.65,362.00,362.28,511300,362.28
2013-12-13,366.77,371.03,362.54,362.94,423600,362.94
2013-12-12,365.44,370.86,365.03,368.30,483200,368.30
2013-12-11,378.62,378.62,364.72,366.62,567900,366.62
2013-12-10,376.59,381.52,375.10,379.52,319400,379.52
2013-12-09,376.39,377.59,372.50,376.59,360300,376.59
2013-12-06,380.74,381.60,373.69,377.38,511200,377.38
2013-12-05,370.88,371.95,365.35,367.84,269800,367.84
2013-12-04,367.49,372.48,362.22,370.68,776100,370.68
