Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,83.97,84.10,83.07,83.19,1390800,83.19
2013-12-31,83.75,84.32,83.75,84.08,1252600,84.08
2013-12-30,83.46,83.56,83.28,83.44,1215600,83.44
2013-12-27,83.50,83.95,83.50,83.59,999000,83.59
2013-12-26,83.56,83.84,83.40,83.71,1046000,83.29
2013-12-24,82.66,83.61,82.56,83.34,828100,82.92
2013-12-23,82.42,82.76,82.28,82.70,1189400,82.29
2013-12-20,81.97,82.58,81.72,81.87,3449600,81.46
2013-12-19,81.09,82.15,80.87,81.82,2230800,81.41
2013-12-18,80.11,81.22,79.18,81.19,2231300,80.78
2013-12-17,79.96,80.35,79.84,79.96,1931100,79.56
2013-12-16,79.22,80.49,79.10,79.99,1893400,79.59
2013-12-13,78.60,79.37,78.46,78.95,1505200,78.55
2013-12-12,78.61,78.84,78.24,78.43,2056800,78.04
2013-12-11,79.93,79.99,78.58,78.70,1895500,78.31
2013-12-10,79.77,80.60,79.67,79.86,1741100,79.46
2013-12-09,80.46,80.67,79.80,79.84,2057700,79.44
2013-12-06,79.49,80.62,79.46,80.49,2565300,80.09
2013-12-05,77.92,79.23,77.79,78.91,2277700,78.51
2013-12-04,77.87,78.50,77.30,78.12,2096700,77.73
