Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,36.26,36.40,35.67,35.87,1866200,35.87
2013-12-31,36.40,36.69,36.33,36.40,1593900,36.40
2013-12-30,36.44,36.79,36.30,36.35,1477900,36.35
2013-12-27,36.52,36.70,36.36,36.49,1324800,36.49
2013-12-26,36.44,36.73,36.40,36.55,1712800,36.55
2013-12-24,36.25,36.51,36.21,36.43,1197300,36.43
2013-12-23,36.00,36.32,35.88,36.25,2536300,36.25
2013-12-20,35.28,35.89,35.28,35.83,3999700,35.83
2013-12-19,35.34,35.54,35.09,35.25,2539200,35.25
2013-12-18,34.55,35.37,33.94,35.36,4845000,35.36
2013-12-17,35.10,35.22,34.46,34.47,4234400,34.47
2013-12-16,34.82,35.24,34.77,35.07,2792800,35.07
2013-12-13,34.62,34.83,34.39,34.58,2947100,34.58
2013-12-12,34.66,34.77,34.28,34.39,3086900,34.39
2013-12-11,35.48,35.50,34.57,34.64,3768300,34.64
2013-12-10,35.51,35.66,35.23,35.38,2435000,35.38
2013-12-09,35.53,35.86,35.34,35.67,2683300,35.67
2013-12-06,34.94,35.70,34.94,35.46,4503300,35.46
2013-12-05,34.63,34.85,34.35,34.39,4365900,34.39
2013-12-04,34.73,35.21,34.55,34.92,4479300,34.92
