Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,17.30,17.30,16.96,17.01,3060900,17.01
2013-12-31,17.08,17.46,16.96,17.44,3480100,17.44
2013-12-30,17.04,17.26,17.04,17.09,3287100,17.09
2013-12-27,16.92,17.14,16.90,17.01,3273300,17.01
2013-12-26,16.60,16.91,16.46,16.75,3584600,16.75
2013-12-24,16.51,16.69,16.50,16.57,1570900,16.57
2013-12-23,16.41,16.52,16.29,16.46,7344000,16.46
2013-12-20,16.29,16.41,16.01,16.12,10508700,16.12
2013-12-19,15.76,16.58,15.70,16.26,14142900,16.26
2013-12-18,15.82,16.00,15.30,15.67,24418600,15.67
2013-12-17,19.73,19.94,19.44,19.72,6093600,19.72
2013-12-16,19.08,19.92,19.08,19.68,3783200,19.68
2013-12-13,19.11,19.31,19.03,19.07,2422800,19.07
2013-12-12,19.42,19.43,18.92,19.10,4555600,19.10
2013-12-11,19.89,20.04,19.31,19.37,3522600,19.37
2013-12-10,20.42,20.46,19.77,19.89,4261100,19.89
2013-12-09,20.45,20.85,20.37,20.56,2122700,20.56
2013-12-06,20.58,20.71,20.23,20.42,2353700,20.42
2013-12-05,19.97,20.50,19.84,20.50,5463800,20.50
2013-12-04,19.87,20.40,19.84,19.93,3442000,19.93
