Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,63.67,64.10,62.66,62.88,1545700,62.88
2013-12-31,61.88,63.06,61.74,62.99,643800,62.99
2013-12-30,61.80,62.01,61.55,61.68,486800,61.68
2013-12-27,61.86,62.06,61.48,61.73,316100,61.73
2013-12-26,61.63,61.94,61.62,61.83,326100,61.83
2013-12-24,61.25,61.58,61.10,61.47,194600,61.47
2013-12-23,61.33,61.68,60.72,61.12,523300,61.12
2013-12-20,60.72,61.41,60.65,61.20,1608200,61.20
2013-12-19,59.88,60.70,59.68,60.57,1465700,60.57
2013-12-18,58.30,60.30,57.96,60.21,1642000,60.21
2013-12-17,57.36,58.49,56.96,58.22,1137800,58.22
2013-12-16,57.05,57.46,56.89,57.33,499800,57.33
2013-12-13,56.76,57.09,56.43,56.76,575500,56.76
2013-12-12,57.48,57.72,56.48,56.49,888700,56.49
2013-12-11,58.58,58.63,57.59,57.64,785300,57.64
2013-12-10,58.33,58.72,58.14,58.59,549200,58.59
2013-12-09,58.51,58.80,58.18,58.38,801900,58.38
2013-12-06,58.61,59.57,58.08,58.48,588200,58.48
2013-12-05,57.90,58.35,57.42,57.54,1093700,57.54
2013-12-04,58.36,58.94,57.51,58.06,577300,58.06
