Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,22.57,22.65,22.28,22.48,5653500,22.48
2013-12-31,22.58,22.71,22.46,22.57,3299500,22.57
2013-12-30,22.20,22.69,22.13,22.53,5465600,22.53
2013-12-27,21.94,22.30,21.91,22.22,3647100,22.22
2013-12-26,21.86,22.00,21.81,21.91,2942800,21.91
2013-12-24,21.47,21.89,21.47,21.81,2733000,21.81
2013-12-23,21.84,21.92,21.63,21.68,6009000,21.68
2013-12-20,21.29,21.81,21.24,21.77,11847300,21.77
2013-12-19,21.23,21.42,21.18,21.20,6896000,21.20
2013-12-18,20.92,21.30,20.71,21.29,8556400,21.29
2013-12-17,21.01,21.32,20.95,20.96,5566600,20.96
2013-12-16,20.81,21.14,20.76,21.04,6579100,21.04
2013-12-13,20.79,20.87,20.58,20.67,6037000,20.67
2013-12-12,21.31,21.31,20.57,20.64,10518400,20.64
2013-12-11,21.54,21.81,21.28,21.32,7338000,21.32
2013-12-10,21.59,21.91,21.38,21.59,7698400,21.59
2013-12-09,21.68,22.02,21.62,21.68,11273500,21.68
2013-12-06,21.50,21.77,21.26,21.67,16086200,21.67
2013-12-05,20.88,21.47,20.79,21.35,12171400,21.35
2013-12-04,20.23,20.89,20.20,20.84,10695100,20.84
