Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,58.00,58.12,56.01,56.36,2663600,56.36
2013-12-31,58.00,58.60,58.00,58.49,1120200,58.49
2013-12-30,57.58,58.49,57.54,57.99,1275800,57.99
2013-12-27,56.99,58.03,56.69,57.86,1721300,57.86
2013-12-26,56.47,57.05,56.42,56.74,983100,56.74
2013-12-24,55.75,56.44,55.48,56.36,599800,56.36
2013-12-23,54.77,55.78,54.74,55.58,1177300,55.58
2013-12-20,54.21,54.60,54.15,54.45,1874100,54.45
2013-12-19,54.32,54.42,53.48,54.08,1210700,54.08
2013-12-18,53.47,54.27,52.83,54.01,1865900,54.01
2013-12-17,53.93,54.04,52.98,53.52,1717500,53.52
2013-12-16,53.65,54.47,53.28,54.08,1422400,54.08
2013-12-13,53.50,53.97,53.16,53.53,1403800,53.53
2013-12-12,52.61,53.69,52.39,53.52,2714900,53.52
2013-12-11,54.50,55.22,52.45,53.15,7654500,53.15
2013-12-10,55.95,56.98,55.85,56.24,1787400,56.24
2013-12-09,55.93,56.48,55.69,55.93,1518300,55.93
2013-12-06,56.23,56.45,55.80,55.98,885400,55.98
2013-12-05,56.06,57.30,55.31,55.53,2206700,55.53
2013-12-04,55.51,56.92,55.33,56.08,1959900,56.08
