Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,58.31,58.50,57.97,58.21,15627600,58.21
2013-12-31,58.20,58.55,58.05,58.48,11017400,57.72
2013-12-30,58.14,58.27,57.71,57.95,8815800,57.20
2013-12-27,58.17,58.35,58.06,58.14,8943700,57.38
2013-12-26,58.35,58.46,57.92,58.20,6677000,57.44
2013-12-24,58.07,58.29,58.04,58.25,4532600,57.49
2013-12-23,57.97,58.39,57.80,58.24,13990600,57.48
2013-12-20,57.21,58.00,57.20,57.70,22001700,56.95
2013-12-19,57.10,57.54,56.82,57.23,16790000,56.49
2013-12-18,55.84,57.27,55.40,57.24,27685900,56.50
2013-12-17,56.66,56.66,55.66,55.72,18338500,55.00
2013-12-16,56.34,56.94,56.33,56.42,26379200,55.69
2013-12-13,56.37,56.56,56.04,56.17,11461300,55.44
2013-12-12,56.05,56.60,55.91,56.31,15325300,55.58
2013-12-11,56.54,56.77,55.96,56.07,17836100,55.34
2013-12-10,56.49,57.07,56.35,56.70,14543700,55.96
2013-12-09,56.28,56.53,56.09,56.51,12714000,55.78
2013-12-06,56.57,56.76,55.62,56.06,18661200,55.33
2013-12-05,56.71,56.74,55.75,55.82,21324900,55.09
2013-12-04,56.44,57.47,56.21,57.19,20287200,56.45
