Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,61.67,62.20,61.34,61.95,1177800,61.95
2013-12-31,61.89,62.14,61.67,61.80,692300,61.80
2013-12-30,61.43,62.09,61.43,61.85,650700,61.85
2013-12-27,61.05,61.75,61.05,61.42,527400,61.42
2013-12-26,61.72,62.00,61.58,61.61,609600,61.61
2013-12-24,61.48,61.81,61.07,61.60,576600,61.60
2013-12-23,61.34,61.87,61.24,61.54,1124800,61.54
2013-12-20,60.41,61.61,60.36,61.19,2002600,61.19
2013-12-19,60.32,60.59,60.00,60.24,841000,60.24
2013-12-18,59.83,60.36,59.31,60.34,1614600,60.34
2013-12-17,60.94,60.95,59.79,59.83,1427500,59.83
2013-12-16,60.26,60.77,60.23,60.55,826400,60.55
2013-12-13,60.32,60.85,60.07,60.09,1046400,60.09
2013-12-12,60.79,61.14,60.19,60.37,1146000,60.37
2013-12-11,61.22,61.58,60.65,60.79,1544500,60.79
2013-12-10,60.64,61.31,60.53,61.27,1374400,61.27
2013-12-09,60.54,60.98,60.42,60.70,1230600,60.70
2013-12-06,61.39,61.50,60.18,60.36,1730100,60.36
2013-12-05,61.31,61.33,60.78,61.05,855800,61.05
2013-12-04,61.34,61.69,60.93,61.35,1203000,61.35
