Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,60.98,61.24,60.55,60.81,1830500,60.81
2013-12-31,61.28,61.58,60.92,61.07,1526300,61.07
2013-12-30,60.97,61.39,60.96,61.26,1593100,61.26
2013-12-27,60.72,61.18,60.69,60.98,1026400,60.98
2013-12-26,60.43,60.83,60.28,60.72,944300,60.72
2013-12-24,60.43,60.52,60.20,60.25,771500,60.25
2013-12-23,60.18,60.47,59.87,60.34,1766500,60.34
2013-12-20,60.59,61.13,60.43,60.52,1848800,60.52
2013-12-19,60.44,60.69,60.04,60.60,1412700,60.60
2013-12-18,59.92,60.57,59.58,60.53,2530300,60.53
2013-12-17,60.50,60.53,59.90,60.34,1328300,60.34
2013-12-16,60.83,60.95,60.26,60.43,1426100,60.43
2013-12-13,60.85,60.87,60.26,60.50,1308000,60.50
2013-12-12,61.12,61.20,60.59,60.64,1620400,60.64
2013-12-11,61.25,61.52,60.97,61.04,2012100,61.04
2013-12-10,61.76,61.88,60.97,61.09,1398500,61.09
2013-12-09,61.71,62.31,61.71,61.94,1722800,61.94
2013-12-06,60.99,61.71,60.98,61.64,1530400,61.64
2013-12-05,60.81,60.89,60.50,60.58,1161600,60.58
2013-12-04,60.91,61.16,60.63,60.90,1596000,60.90
