Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,19.64,20.23,19.64,19.94,5600,19.94
2013-12-31,19.79,19.79,19.55,19.65,39100,19.65
2013-12-30,19.73,19.73,19.36,19.69,59300,19.69
2013-12-27,19.75,20.05,19.75,19.92,41400,19.57
2013-12-26,19.55,19.79,19.55,19.75,109700,19.40
2013-12-24,19.62,19.68,19.56,19.63,7700,19.28
2013-12-23,19.78,19.86,19.54,19.56,47800,19.21
2013-12-20,19.67,19.80,19.67,19.75,31500,19.40
2013-12-19,19.49,19.83,19.45,19.78,38500,19.43
2013-12-18,19.62,19.72,19.46,19.72,30400,19.37
2013-12-17,19.60,19.70,19.45,19.58,24100,19.23
2013-12-16,19.71,19.80,19.56,19.60,23800,19.25
2013-12-13,19.58,19.65,19.47,19.57,13300,19.22
2013-12-12,19.76,19.76,19.52,19.53,20800,19.18
2013-12-11,19.80,19.80,19.71,19.72,20300,19.37
2013-12-10,19.78,19.84,19.71,19.80,43800,19.45
2013-12-09,19.79,19.87,19.76,19.78,36300,19.43
2013-12-06,19.80,19.85,19.68,19.83,36600,19.48
2013-12-05,19.95,20.01,19.60,19.65,42300,19.30
2013-12-04,20.11,20.15,20.00,20.05,72300,19.70
