Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,104.32,104.62,103.52,103.84,1432900,103.84
2013-12-31,105.73,105.74,104.16,104.46,1321000,104.46
2013-12-30,105.10,105.97,104.95,105.93,1006400,105.93
2013-12-27,105.22,105.80,105.00,105.10,669300,105.10
2013-12-26,104.80,105.13,104.41,104.99,643000,104.99
2013-12-24,104.70,105.18,104.45,104.79,386800,104.79
2013-12-23,105.29,105.39,104.43,104.54,1078500,104.54
2013-12-20,104.67,105.61,104.17,105.18,2019700,105.18
2013-12-19,104.33,105.08,104.04,104.38,1552600,104.38
2013-12-18,103.25,105.18,102.71,105.14,1779300,105.14
2013-12-17,103.78,103.99,102.53,102.75,1769900,102.75
2013-12-16,104.39,104.89,103.85,104.03,1443300,104.03
2013-12-13,104.02,104.34,103.36,103.92,989300,103.92
2013-12-12,105.12,105.26,103.74,103.83,1550300,103.83
2013-12-11,105.16,106.17,104.97,105.38,1650300,105.38
2013-12-10,105.42,105.50,104.58,104.91,1620500,104.91
2013-12-09,105.85,106.23,105.38,105.83,1289800,105.83
2013-12-06,104.75,105.60,104.73,105.58,1850700,105.58
2013-12-05,104.03,104.30,103.42,103.90,2074900,103.90
2013-12-04,105.00,105.13,104.04,104.20,2694000,104.20
