Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,47.02,47.25,46.57,46.90,1325100,46.90
2013-12-31,47.10,47.24,46.68,47.02,1165000,47.02
2013-12-30,46.92,47.27,46.61,47.10,1318000,47.10
2013-12-27,47.49,47.49,46.80,46.93,1286000,46.93
2013-12-26,47.79,48.15,47.37,47.47,1270900,47.47
2013-12-24,47.71,47.82,46.90,47.60,1222800,47.60
2013-12-23,48.46,48.66,47.28,47.44,3418700,47.44
2013-12-20,50.25,50.67,47.52,48.08,8382200,48.08
2013-12-19,52.51,53.08,52.21,53.05,1628400,53.05
2013-12-18,51.73,52.63,51.28,52.52,1788900,52.52
2013-12-17,51.93,51.93,51.32,51.75,894800,51.75
2013-12-16,51.16,52.22,51.16,51.83,1112900,51.83
2013-12-13,51.17,51.34,50.78,50.95,606400,50.95
2013-12-12,51.26,51.32,50.76,51.09,965200,51.09
2013-12-11,52.07,52.23,51.17,51.26,992600,51.26
2013-12-10,51.94,52.50,51.87,52.09,1031900,52.09
2013-12-09,51.48,52.63,51.27,51.95,1518300,51.95
2013-12-06,51.40,51.49,50.55,51.20,1299500,51.20
2013-12-05,50.70,51.45,50.44,50.80,936500,50.80
2013-12-04,51.00,51.47,50.12,50.69,1514600,50.69
