Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,80.94,82.75,80.94,82.41,3336300,82.41
2013-12-31,80.60,81.53,80.20,81.19,1558500,81.19
2013-12-30,80.74,80.83,79.65,80.59,2384900,80.59
2013-12-27,81.27,81.44,80.25,80.58,1440800,80.58
2013-12-26,81.65,81.65,80.49,81.02,1699300,81.02
2013-12-24,80.89,81.95,80.86,81.40,1938500,81.40
2013-12-23,84.00,84.00,79.59,80.80,10262600,80.80
2013-12-20,84.26,84.40,82.99,83.88,8990800,83.88
2013-12-19,84.15,84.58,83.44,83.92,1883900,83.92
2013-12-18,83.19,84.40,82.00,84.19,3313100,84.19
2013-12-17,82.60,83.59,82.04,82.91,2311200,82.91
2013-12-16,82.46,83.04,81.50,82.20,2551800,82.20
2013-12-13,83.02,83.91,81.29,82.27,4186400,82.27
2013-12-12,80.67,82.77,80.45,82.65,3858500,82.65
2013-12-11,81.79,82.07,80.33,80.58,2093800,80.58
2013-12-10,80.61,82.04,80.28,81.81,2368000,81.81
2013-12-09,79.96,80.98,79.68,80.61,2777900,80.61
2013-12-06,81.00,81.34,78.59,79.68,2742300,79.68
2013-12-05,80.53,81.12,80.01,80.76,1741300,80.76
2013-12-04,80.39,80.89,79.10,80.76,2735400,80.76
