Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,39.26,39.54,39.21,39.28,3194600,39.28
2013-12-31,39.73,39.74,39.27,39.53,2496000,39.53
2013-12-30,39.60,39.83,39.54,39.65,1958900,39.65
2013-12-27,39.82,39.85,39.50,39.54,2014900,39.54
2013-12-26,39.88,40.11,39.70,39.85,1109900,39.85
2013-12-24,39.82,39.97,39.67,39.89,868400,39.89
2013-12-23,39.95,40.32,39.76,39.89,2419000,39.89
2013-12-20,39.56,39.78,39.49,39.70,5710000,39.70
2013-12-19,39.94,40.45,39.30,39.67,3357300,39.67
2013-12-18,39.93,40.09,38.86,40.08,4879200,40.08
2013-12-17,40.07,40.10,39.62,39.83,3071100,39.83
2013-12-16,40.00,40.23,39.54,40.06,3776300,40.06
2013-12-13,39.96,40.12,39.48,39.92,3877300,39.92
2013-12-12,40.25,40.27,39.75,39.99,4209900,39.99
2013-12-11,40.39,40.68,40.25,40.36,3221700,40.36
2013-12-10,40.30,40.44,40.02,40.35,2835500,40.35
2013-12-09,40.63,40.72,40.20,40.42,3685300,40.42
2013-12-06,40.49,40.84,40.06,40.44,5720400,40.44
2013-12-05,41.55,41.66,39.56,40.06,11319300,40.06
2013-12-04,41.92,42.25,41.52,41.52,4813700,41.52
