Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,123.04,123.21,119.46,120.00,800500,120.00
2013-12-31,122.88,123.89,122.70,123.83,508200,123.83
2013-12-30,122.04,122.65,121.25,122.33,327400,122.33
2013-12-27,123.45,124.10,121.45,122.04,390500,122.04
2013-12-26,123.10,123.96,122.82,123.67,352500,123.45
2013-12-24,122.04,123.98,121.96,123.09,447100,122.88
2013-12-23,122.25,122.63,121.26,122.28,501300,122.07
2013-12-20,121.30,122.16,120.23,121.73,1144100,121.52
2013-12-19,120.41,120.76,118.93,120.60,552300,120.39
2013-12-18,117.92,120.89,117.35,120.80,832500,120.59
2013-12-17,118.72,118.77,117.04,117.48,664500,117.28
2013-12-16,116.05,119.19,116.05,118.80,658900,118.59
2013-12-13,117.00,118.55,117.00,117.44,654800,117.24
2013-12-12,116.90,117.44,116.16,117.05,586000,116.85
2013-12-11,119.33,119.40,116.41,117.01,706400,116.81
2013-12-10,119.75,122.13,118.97,119.03,996600,118.82
2013-12-09,118.03,120.22,117.80,119.88,1047600,119.67
2013-12-06,118.94,119.92,118.02,118.15,828000,117.94
2013-12-05,119.79,120.30,117.95,118.09,842700,117.88
2013-12-04,120.12,121.10,118.23,119.98,553800,119.77
