Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,48.12,48.15,47.15,47.38,869000,47.38
2013-12-31,48.07,48.30,47.96,48.24,480500,48.24
2013-12-30,47.74,48.05,47.63,47.96,476900,47.96
2013-12-27,47.96,47.97,47.44,47.67,459200,47.67
2013-12-26,48.01,48.15,47.84,48.03,361600,48.03
2013-12-24,47.74,48.00,47.63,48.00,138500,48.00
2013-12-23,47.94,47.97,47.67,47.77,427800,47.77
2013-12-20,47.39,47.69,47.27,47.62,968100,47.62
2013-12-19,47.20,47.34,47.07,47.27,656300,47.27
2013-12-18,46.61,47.42,46.25,47.40,816800,47.40
2013-12-17,46.81,46.86,46.33,46.44,548100,46.44
2013-12-16,46.81,46.89,46.60,46.78,715000,46.78
2013-12-13,46.61,46.85,46.41,46.56,492300,46.56
2013-12-12,46.47,46.76,46.37,46.61,826400,46.61
2013-12-11,47.36,47.46,46.46,46.56,732000,46.56
2013-12-10,47.42,47.59,47.33,47.41,831300,47.41
2013-12-09,47.49,47.82,47.40,47.57,721400,47.57
2013-12-06,46.92,47.30,46.67,47.29,658000,47.29
2013-12-05,46.69,46.80,46.43,46.51,695700,46.51
2013-12-04,46.87,47.20,46.33,46.76,576700,46.76
