Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,30.87,30.92,30.54,30.66,713200,30.66
2013-12-31,31.15,31.20,30.87,30.94,642400,30.94
2013-12-30,31.04,31.22,30.98,31.08,563100,31.08
2013-12-27,31.00,31.33,30.95,31.06,725000,31.06
2013-12-26,31.02,31.22,30.99,31.00,761000,31.00
2013-12-24,30.93,31.18,30.85,30.97,266300,30.97
2013-12-23,30.74,31.10,30.55,30.99,1668900,30.99
2013-12-20,30.34,30.74,30.28,30.55,2510700,30.55
2013-12-19,30.28,30.42,30.13,30.26,1065400,30.26
2013-12-18,29.47,30.49,29.37,30.36,2380300,30.36
2013-12-17,29.49,29.56,29.27,29.37,1584100,29.37
2013-12-16,29.21,29.55,29.20,29.48,602100,29.48
2013-12-13,29.11,29.24,29.05,29.15,569900,29.15
2013-12-12,28.87,29.20,28.80,29.10,1146800,29.10
2013-12-11,29.30,29.43,28.79,28.94,1107500,28.94
2013-12-10,29.86,30.03,29.60,29.64,588000,29.34
2013-12-09,29.73,30.04,29.66,29.86,848100,29.56
2013-12-06,29.40,29.76,29.37,29.66,609800,29.36
2013-12-05,29.23,29.41,29.11,29.21,993200,28.91
2013-12-04,29.44,29.75,29.21,29.35,1341100,29.05
