Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,106.07,106.28,104.94,105.08,720100,105.08
2013-12-31,106.87,107.13,106.66,106.86,323400,106.86
2013-12-30,107.39,107.53,106.38,106.78,371300,106.78
2013-12-27,108.60,108.69,107.07,107.12,254000,107.12
2013-12-26,106.84,107.62,106.73,107.13,453200,107.13
2013-12-24,105.82,106.95,105.82,106.73,175100,106.73
2013-12-23,105.65,106.24,105.61,106.03,353200,106.03
2013-12-20,105.09,106.13,104.80,105.49,1014600,105.49
2013-12-19,104.55,104.90,103.80,104.57,633600,104.57
2013-12-18,102.42,104.90,102.17,104.78,830900,104.78
2013-12-17,103.27,103.46,102.05,102.39,469600,102.39
2013-12-16,102.19,103.40,102.02,103.02,909200,103.02
2013-12-13,101.61,102.35,101.15,102.23,436600,102.23
2013-12-12,100.61,101.50,100.61,101.30,511500,101.30
2013-12-11,102.47,102.75,100.67,100.88,568200,100.88
2013-12-10,101.72,102.46,101.25,102.38,722500,102.38
2013-12-09,101.98,102.23,101.72,101.95,655800,101.95
2013-12-06,101.47,101.96,101.39,101.80,582200,101.80
2013-12-05,101.58,101.67,100.58,100.81,582500,100.81
2013-12-04,102.40,102.65,100.63,101.58,764400,101.58
