Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,45.48,45.48,44.56,44.88,1828700,44.88
2013-12-31,47.55,47.55,45.40,45.55,1172300,45.55
2013-12-30,45.38,45.67,45.17,45.50,1212900,45.50
2013-12-27,45.41,45.59,45.26,45.38,721000,45.38
2013-12-26,45.25,45.47,45.14,45.32,985500,45.32
2013-12-24,45.33,45.49,45.00,45.20,826200,45.20
2013-12-23,45.10,45.20,44.93,45.19,1089500,45.19
2013-12-20,44.56,45.00,44.33,44.80,2924300,44.80
2013-12-19,45.20,45.20,44.35,44.54,1850800,44.54
2013-12-18,44.66,45.13,44.05,45.11,2482600,45.11
2013-12-17,43.94,44.83,43.83,44.53,2459800,44.53
2013-12-16,43.70,43.99,43.59,43.95,1340900,43.95
2013-12-13,43.33,43.57,43.15,43.35,1199900,43.35
2013-12-12,43.59,43.72,43.28,43.34,1356700,43.34
2013-12-11,43.88,44.09,43.44,43.50,1833200,43.50
2013-12-10,43.88,44.21,43.82,43.92,1401100,43.92
2013-12-09,44.18,44.26,43.83,43.98,1681200,43.98
2013-12-06,43.91,44.13,43.74,43.93,1758300,43.93
2013-12-05,43.50,43.70,43.23,43.44,1890100,43.44
2013-12-04,43.10,43.88,43.00,43.52,3174800,43.52
