Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,50.97,51.09,50.56,50.73,3175900,50.73
2013-12-31,51.19,51.26,50.85,51.00,2928600,51.00
2013-12-30,51.15,51.22,50.63,51.17,3309200,51.17
2013-12-27,51.10,51.38,50.91,51.25,2265000,51.25
2013-12-26,50.76,51.25,50.62,50.99,2440000,50.99
2013-12-24,50.58,50.90,50.51,50.74,1359500,50.74
2013-12-23,50.48,50.90,50.28,50.55,4561900,50.55
2013-12-20,50.22,50.93,49.99,50.20,6367100,50.20
2013-12-19,50.19,50.51,49.89,50.14,5356300,50.14
2013-12-18,49.24,50.58,49.13,50.51,6207900,50.51
2013-12-17,49.31,49.31,48.88,49.22,4110200,49.22
2013-12-16,49.61,49.94,49.17,49.19,4906900,49.19
2013-12-13,49.28,49.67,49.08,49.39,4286900,49.39
2013-12-12,49.80,49.95,49.14,49.23,5274400,49.23
2013-12-11,50.60,50.64,49.87,49.98,4610500,49.98
2013-12-10,50.86,50.88,50.32,50.49,4385600,50.49
2013-12-09,50.58,51.05,50.49,50.79,3804800,50.79
2013-12-06,50.34,50.68,50.25,50.63,3854200,50.63
2013-12-05,49.83,50.18,49.73,49.96,3716500,49.96
2013-12-04,49.79,50.03,49.53,49.87,4106300,49.87
