Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,43.43,43.50,42.68,43.07,863800,43.07
2013-12-31,43.45,43.71,43.35,43.48,831600,43.48
2013-12-30,43.63,43.94,43.36,43.47,671300,43.47
2013-12-27,43.94,43.99,43.55,43.68,652900,43.68
2013-12-26,44.00,44.09,43.73,43.78,700300,43.78
2013-12-24,43.88,44.00,43.80,43.88,282200,43.88
2013-12-23,43.81,44.08,43.76,43.89,1092200,43.89
2013-12-20,43.42,43.76,43.37,43.47,2043700,43.47
2013-12-19,43.29,43.66,43.03,43.37,1878300,43.37
2013-12-18,42.52,43.49,42.47,43.42,3023900,43.42
2013-12-17,42.10,42.73,41.99,42.51,2269700,42.51
2013-12-16,41.57,42.40,41.54,42.04,1599900,42.04
2013-12-13,40.76,41.51,40.63,41.38,1226100,41.38
2013-12-12,40.55,40.90,40.31,40.63,1582400,40.63
2013-12-11,40.81,41.34,40.52,40.60,2677800,40.60
2013-12-10,40.00,41.27,39.94,40.80,2889400,40.80
2013-12-09,39.88,40.21,39.52,40.20,1618900,40.20
2013-12-06,39.09,40.07,39.06,39.90,1701200,39.77
2013-12-05,38.71,38.81,38.15,38.49,1105800,38.36
2013-12-04,38.86,39.46,38.49,38.89,720000,38.76
