Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,51.33,51.34,50.28,50.53,1767400,50.53
2013-12-31,51.55,51.77,51.27,51.62,1248300,51.62
2013-12-30,51.73,51.79,51.27,51.32,1051200,51.32
2013-12-27,52.13,52.24,51.56,51.65,1053600,51.65
2013-12-26,52.07,52.23,51.66,51.95,1859900,51.95
2013-12-24,51.55,51.95,51.52,51.83,697500,51.83
2013-12-23,51.75,52.07,51.45,51.55,2266900,51.55
2013-12-20,51.29,51.65,50.84,51.36,3208700,51.36
2013-12-19,51.14,51.41,50.92,51.31,1406400,51.31
2013-12-18,50.39,51.36,49.47,51.31,3478900,51.31
2013-12-17,50.86,50.95,50.06,50.08,2534600,50.08
2013-12-16,51.14,51.35,50.73,51.01,1541000,51.01
2013-12-13,50.76,51.04,50.20,50.94,1645800,50.94
2013-12-12,50.39,50.89,50.24,50.58,1825500,50.58
2013-12-11,51.39,51.51,50.36,50.41,1892300,50.41
2013-12-10,51.46,51.73,50.69,51.09,2196300,51.09
2013-12-09,51.48,51.94,51.29,51.70,1658000,51.70
2013-12-06,51.30,51.75,50.97,51.43,1866900,51.43
2013-12-05,50.83,51.16,50.39,50.65,1798100,50.65
2013-12-04,50.53,51.60,50.41,51.10,2058300,51.10
