Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,50.66,50.74,49.84,49.99,2194500,49.99
2013-12-31,50.50,50.89,50.49,50.68,1918300,50.68
2013-12-30,50.51,50.69,50.17,50.67,1632800,50.67
2013-12-27,50.64,50.86,50.51,50.53,1645400,50.53
2013-12-26,50.41,50.59,50.11,50.42,2047700,50.42
2013-12-24,50.10,50.53,50.10,50.30,1026500,50.30
2013-12-23,50.27,50.46,49.96,50.20,2370500,50.20
2013-12-20,49.83,50.12,49.70,49.90,11035900,49.90
2013-12-19,49.91,50.17,49.42,49.78,3499700,49.78
2013-12-18,49.90,50.09,48.88,49.95,4848200,49.95
2013-12-17,49.66,49.75,49.20,49.49,4055500,49.49
2013-12-16,50.20,50.24,49.63,49.75,3806500,49.75
2013-12-13,50.34,50.48,50.06,50.14,1938000,50.14
2013-12-12,50.50,50.81,50.08,50.35,2034600,50.35
2013-12-11,50.70,51.12,50.30,50.57,2808300,50.57
2013-12-10,50.92,51.16,50.50,50.60,2595000,50.60
2013-12-09,50.83,51.10,50.65,50.90,2222100,50.90
2013-12-06,50.85,51.02,50.61,50.80,2019800,50.80
2013-12-05,51.01,51.20,50.45,50.54,2905000,50.54
2013-12-04,51.17,51.33,50.57,50.98,3469300,50.98
