Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,28.37,28.65,28.24,28.50,1237200,28.50
2013-12-31,28.35,28.58,28.21,28.34,738700,28.34
2013-12-30,28.24,28.61,28.23,28.29,752200,28.29
2013-12-27,28.39,28.67,28.15,28.18,627700,28.18
2013-12-26,28.27,28.56,28.27,28.39,550400,28.39
2013-12-24,28.13,28.28,28.02,28.24,263200,28.24
2013-12-23,28.03,28.29,27.93,28.14,759700,28.14
2013-12-20,27.47,28.21,27.45,27.95,2108400,27.95
2013-12-19,27.82,27.82,27.36,27.41,890600,27.41
2013-12-18,27.54,27.94,26.98,27.91,1212300,27.91
2013-12-17,27.65,27.65,27.17,27.55,1224300,27.55
2013-12-16,27.28,27.55,27.17,27.44,1366600,27.44
2013-12-13,27.56,27.67,27.14,27.20,674400,27.20
2013-12-12,27.10,27.64,26.98,27.45,1164000,27.45
2013-12-11,27.77,27.83,27.00,27.10,1196500,27.04
2013-12-10,28.04,28.09,27.74,27.80,733300,27.74
2013-12-09,28.16,28.25,27.95,28.04,739500,27.97
2013-12-06,28.10,28.14,27.84,28.11,615300,28.04
2013-12-05,27.83,27.98,27.56,27.77,939800,27.71
2013-12-04,27.62,28.12,27.52,27.94,917100,27.88
