Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,18.85,19.09,18.78,18.88,4556500,18.88
2013-12-31,18.84,18.94,18.76,18.84,2872100,18.84
2013-12-30,18.80,18.92,18.74,18.83,2971800,18.83
2013-12-27,18.98,19.00,18.60,18.74,2870000,18.74
2013-12-26,18.94,18.97,18.80,18.93,2432500,18.93
2013-12-24,18.87,18.95,18.80,18.93,1475000,18.93
2013-12-23,18.95,18.98,18.72,18.89,4705700,18.89
2013-12-20,18.66,18.94,18.57,18.86,10329000,18.86
2013-12-19,18.72,18.78,18.36,18.62,4726700,18.62
2013-12-18,18.44,18.67,18.20,18.66,5979800,18.66
2013-12-17,18.73,18.73,18.32,18.32,5692200,18.32
2013-12-16,18.74,18.81,18.42,18.73,5305500,18.73
2013-12-13,18.88,18.93,18.41,18.63,6428300,18.63
2013-12-12,18.31,18.84,18.21,18.79,11460200,18.79
2013-12-11,18.57,18.63,17.95,17.97,9943700,17.97
2013-12-10,18.49,18.82,18.46,18.58,5794000,18.58
2013-12-09,18.31,18.59,18.30,18.50,5717300,18.46
2013-12-06,18.18,18.38,18.04,18.31,4757000,18.27
2013-12-05,17.91,18.24,17.90,18.00,7679100,17.96
2013-12-04,18.20,18.22,17.73,17.90,9411800,17.86
