Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,837.41,837.97,830.10,834.14,721400,834.14
2013-12-31,839.37,839.38,830.62,835.46,675900,835.46
2013-12-30,830.12,838.92,828.55,833.30,706800,833.30
2013-12-27,822.00,828.34,820.04,827.87,571000,827.87
2013-12-26,815.05,821.90,814.17,821.90,594000,821.90
2013-12-24,814.52,815.82,811.05,813.20,404800,813.20
2013-12-23,825.06,825.63,812.56,815.10,894600,815.10
2013-12-20,808.55,823.21,807.04,817.05,1315400,817.05
2013-12-19,802.00,809.21,799.03,805.38,953000,805.38
2013-12-18,797.87,803.51,788.63,802.06,1044400,802.06
2013-12-17,799.80,803.54,796.12,797.95,961000,797.95
2013-12-16,793.00,800.46,791.70,796.75,747800,796.75
2013-12-13,785.50,791.79,783.46,787.97,682800,787.97
2013-12-12,791.50,791.50,781.33,782.54,1007500,782.54
2013-12-11,793.74,801.63,789.47,790.57,2546000,790.57
2013-12-10,758.50,769.10,758.50,763.61,601200,763.61
2013-12-09,762.90,766.48,758.00,758.86,434800,758.86
2013-12-06,757.74,759.65,752.72,758.47,331000,758.47
2013-12-05,750.25,754.90,747.01,751.50,359700,751.50
2013-12-04,752.00,753.75,744.06,748.17,509100,748.17
