Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,58.69,58.83,57.84,58.38,767800,58.38
2013-12-31,59.33,59.54,58.65,58.89,737600,58.89
2013-12-30,59.16,59.42,59.09,59.35,393500,59.35
2013-12-27,59.35,59.35,58.60,59.17,446400,59.17
2013-12-26,59.70,60.00,59.07,59.44,426700,59.44
2013-12-24,59.33,59.57,59.25,59.40,266200,59.40
2013-12-23,59.33,59.75,59.18,59.36,972700,59.36
2013-12-20,58.66,59.11,58.43,58.96,1561600,58.96
2013-12-19,59.33,59.46,58.29,58.64,651300,58.64
2013-12-18,58.93,59.72,57.71,59.54,1218900,59.54
2013-12-17,58.37,59.22,58.26,58.71,973500,58.71
2013-12-16,58.51,58.87,58.12,58.49,618400,58.49
2013-12-13,58.72,59.32,58.21,58.51,1005600,58.51
2013-12-12,58.53,58.78,57.95,58.50,1272000,58.50
2013-12-11,60.01,60.27,58.62,58.65,1078200,58.65
2013-12-10,60.28,60.58,59.81,60.01,712800,60.01
2013-12-09,60.48,60.76,59.93,60.34,1161700,60.34
2013-12-06,59.70,60.55,59.52,60.49,1314900,60.49
2013-12-05,58.21,59.35,57.97,59.28,1820900,59.28
2013-12-04,56.79,58.51,56.00,58.36,1858400,58.36
