Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,49.03,49.26,48.57,48.96,2127000,48.96
2013-12-31,49.00,49.44,49.00,49.35,1484100,49.35
2013-12-30,49.08,49.12,48.60,49.01,1200100,49.01
2013-12-27,48.99,49.02,48.68,48.78,875000,48.78
2013-12-26,49.71,49.84,48.59,48.91,1137800,48.91
2013-12-24,48.05,48.69,48.05,48.67,692500,48.67
2013-12-23,48.09,48.82,48.06,48.28,1088000,48.28
2013-12-20,47.97,48.32,47.87,48.15,3679100,48.15
2013-12-19,47.60,47.87,47.31,47.72,1550200,47.72
2013-12-18,46.88,47.90,46.52,47.87,1944700,47.87
2013-12-17,46.95,47.15,46.42,46.84,1782500,46.84
2013-12-16,46.73,47.45,46.61,47.09,2616600,47.09
2013-12-13,46.35,46.69,46.00,46.57,1956900,46.57
2013-12-12,45.92,46.34,45.83,46.02,1867700,46.02
2013-12-11,46.50,46.56,45.85,46.01,2470600,46.01
2013-12-10,46.60,46.73,46.45,46.57,1852700,46.57
2013-12-09,46.46,46.89,46.42,46.56,1537800,46.56
2013-12-06,46.64,46.70,45.96,46.23,1943200,46.23
2013-12-05,45.92,46.07,45.57,45.62,1914300,45.62
2013-12-04,45.44,46.18,45.25,45.91,2119800,45.91
