Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,44.56,44.56,44.01,44.17,1150300,44.17
2013-12-31,44.65,44.95,44.57,44.75,815500,44.75
2013-12-30,44.22,44.71,44.14,44.46,701100,44.46
2013-12-27,44.40,44.49,44.15,44.28,783900,44.28
2013-12-26,44.72,44.73,44.17,44.35,1144900,44.35
2013-12-24,44.06,44.51,43.85,44.43,1057800,44.43
2013-12-23,43.70,44.19,43.40,44.08,2052600,44.08
2013-12-20,42.63,43.52,42.58,43.42,11114600,43.42
2013-12-19,42.69,42.87,42.43,42.69,2170900,42.69
2013-12-18,41.91,42.56,41.47,42.55,3317000,42.55
2013-12-17,41.70,42.19,41.54,41.94,2137200,41.94
2013-12-16,41.61,41.92,41.53,41.76,1837800,41.76
2013-12-13,41.99,42.06,41.32,41.53,2362600,41.53
2013-12-12,42.64,42.67,41.96,41.97,1623700,41.97
2013-12-11,43.00,43.10,41.96,42.15,2405200,42.15
2013-12-10,43.25,43.43,42.89,43.01,849600,43.01
2013-12-09,43.42,43.73,43.17,43.31,2076300,43.31
2013-12-06,42.94,43.60,42.67,43.56,1881400,43.56
2013-12-05,42.65,42.75,42.06,42.33,1881200,42.33
2013-12-04,42.62,42.88,42.08,42.42,1851000,42.42
