Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,35.03,35.20,34.75,34.81,6213100,34.81
2013-12-31,35.21,35.43,34.95,35.30,5234300,35.30
2013-12-30,34.53,35.15,34.53,35.13,3981800,35.13
2013-12-27,34.93,34.95,34.75,34.91,3429800,34.91
2013-12-26,34.71,34.98,34.64,34.91,4236000,34.91
2013-12-24,34.61,34.84,34.58,34.72,2648500,34.72
2013-12-23,34.68,34.87,34.52,34.70,7278600,34.70
2013-12-20,34.36,34.94,34.16,34.67,18869600,34.67
2013-12-19,34.59,34.63,33.95,34.43,10438800,34.43
2013-12-18,33.96,34.67,33.50,34.64,9706800,34.64
2013-12-17,33.77,34.13,33.71,33.96,7667800,33.96
2013-12-16,33.85,34.13,33.76,33.85,5914300,33.85
2013-12-13,34.22,34.23,33.71,33.85,6474100,33.85
2013-12-12,33.82,34.23,33.69,33.98,11828700,33.98
2013-12-11,34.18,34.50,34.02,34.08,7276200,34.08
2013-12-10,34.60,34.67,34.00,34.06,9193700,34.06
2013-12-09,35.08,35.20,34.62,34.69,10238800,34.69
2013-12-06,34.86,35.13,34.63,35.09,10192800,35.09
2013-12-05,34.09,34.45,33.85,34.40,8722700,34.40
2013-12-04,33.57,34.31,33.42,34.27,9212100,34.27
