Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,57.21,57.46,57.04,57.24,4219000,57.24
2013-12-31,57.26,57.49,57.17,57.39,3299700,57.39
2013-12-30,57.47,57.57,57.29,57.37,1882600,57.09
2013-12-27,57.57,57.69,57.26,57.40,1834800,57.12
2013-12-26,57.50,57.50,57.28,57.47,1887300,57.19
2013-12-24,57.41,57.47,57.13,57.37,1249400,57.09
2013-12-23,57.30,57.44,57.00,57.40,3618800,57.12
2013-12-20,57.13,57.19,56.85,56.89,6769400,56.61
2013-12-19,57.43,57.60,57.09,57.17,4110000,56.89
2013-12-18,56.81,57.77,56.19,57.76,4786000,57.48
2013-12-17,57.31,57.38,56.05,56.59,4638100,56.31
2013-12-16,56.24,56.62,56.13,56.34,3156400,56.07
2013-12-13,55.92,56.18,55.56,55.89,2536100,55.62
2013-12-12,56.11,56.18,55.61,55.65,3496800,55.38
2013-12-11,57.39,57.43,56.20,56.26,4009900,55.99
2013-12-10,57.40,57.65,57.25,57.38,2740300,57.10
2013-12-09,58.17,58.20,57.60,57.87,3579300,57.59
2013-12-06,57.53,58.18,57.49,58.14,3318200,57.86
2013-12-05,56.95,57.07,56.66,56.91,4352800,56.63
2013-12-04,57.27,58.02,56.66,56.93,4469300,56.65
