Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,53.55,53.57,52.89,53.19,3879800,53.19
2013-12-31,53.80,54.06,53.53,53.92,2906600,53.92
2013-12-30,53.98,54.10,53.34,53.50,3324500,53.50
2013-12-27,54.13,54.32,53.85,53.96,4051800,53.96
2013-12-26,53.72,54.16,53.60,54.02,4160200,54.02
2013-12-24,53.09,53.69,53.08,53.67,1742900,53.67
2013-12-23,53.37,53.67,53.04,53.17,5158200,53.17
2013-12-20,52.23,53.32,52.08,53.12,10118800,53.12
2013-12-19,52.10,52.43,51.72,52.27,5297600,52.27
2013-12-18,51.03,52.03,50.13,51.90,12798800,51.90
2013-12-17,51.35,51.38,50.60,50.74,6552900,50.74
2013-12-16,51.45,51.70,51.24,51.31,6101600,51.31
2013-12-13,51.52,51.57,50.94,51.19,4068100,51.19
2013-12-12,51.40,51.70,51.06,51.19,4814500,51.19
2013-12-11,51.80,52.02,51.29,51.43,5862400,51.43
2013-12-10,51.43,52.07,51.16,51.85,4381800,51.85
2013-12-09,51.89,52.24,51.49,51.70,7135500,51.70
2013-12-06,51.70,52.25,51.39,51.67,5191900,51.67
2013-12-05,51.23,51.63,50.95,51.05,4788100,51.05
2013-12-04,51.26,52.06,50.94,51.27,5874500,51.27
