Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,148.72,149.66,147.78,149.11,677000,149.11
2013-12-31,147.91,149.01,147.25,148.90,533600,148.90
2013-12-30,146.54,148.00,146.54,147.47,525600,147.47
2013-12-27,146.52,146.75,145.32,146.75,491700,146.75
2013-12-26,146.79,147.33,145.61,146.33,448100,146.33
2013-12-24,145.83,147.26,145.63,146.36,338000,146.36
2013-12-23,142.53,145.81,142.00,145.43,1253300,145.43
2013-12-20,143.00,144.39,141.44,141.44,7984000,141.44
2013-12-19,145.53,146.00,142.56,143.50,843300,143.50
2013-12-18,140.67,146.69,140.30,146.47,1277400,146.47
2013-12-17,140.67,140.89,138.26,139.80,548100,139.80
2013-12-16,140.38,142.29,140.20,140.86,567800,140.86
2013-12-13,140.64,141.81,139.43,139.64,864800,139.64
2013-12-12,141.43,141.87,139.93,140.64,1341400,140.64
2013-12-11,140.86,141.52,138.17,139.52,815200,139.52
2013-12-10,142.99,144.56,140.73,141.02,449600,141.02
2013-12-09,141.24,145.05,140.66,143.27,1037500,143.27
2013-12-06,139.79,140.23,137.29,138.95,702300,138.95
2013-12-05,135.64,137.58,134.04,137.47,675000,137.47
2013-12-04,136.99,137.30,134.16,135.83,859400,135.83
