Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,82.78,84.48,82.21,83.17,1480500,83.17
2013-12-31,83.36,84.29,82.33,83.76,956500,83.76
2013-12-30,83.27,83.27,82.65,83.10,3181500,83.10
2013-12-27,83.71,83.71,82.55,82.95,1682100,82.95
2013-12-26,83.52,83.85,82.82,83.35,722100,83.35
2013-12-24,83.30,83.95,83.24,83.33,522700,83.33
2013-12-23,83.58,83.59,82.71,83.12,880900,83.12
2013-12-20,83.41,83.55,82.51,82.89,1404800,82.89
2013-12-19,83.62,83.78,82.37,83.35,980800,83.35
2013-12-18,83.07,83.95,82.06,83.92,1432900,83.92
2013-12-17,82.94,83.63,82.35,82.99,1174700,82.99
2013-12-16,83.69,83.69,82.16,82.94,968900,82.94
2013-12-13,84.00,84.55,83.00,83.16,1036500,83.16
2013-12-12,84.26,84.90,83.32,83.95,1452900,83.95
2013-12-11,85.29,85.62,84.84,85.00,1263100,84.66
2013-12-10,85.39,85.55,84.67,85.00,1215100,84.66
2013-12-09,85.72,86.20,85.22,85.49,1150500,85.15
2013-12-06,85.58,85.93,85.26,85.58,1573600,85.24
2013-12-05,85.20,85.72,84.90,85.08,1588500,84.74
2013-12-04,84.78,85.81,84.59,85.26,1477100,84.92
