Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,48.01,48.15,47.61,47.72,1383400,47.72
2013-12-31,48.20,48.56,48.18,48.36,972400,48.36
2013-12-30,48.35,48.47,48.06,48.21,1408600,48.21
2013-12-27,48.43,48.51,48.22,48.29,1055500,48.29
2013-12-26,48.38,48.51,48.15,48.33,1322300,48.33
2013-12-24,48.06,48.48,47.86,48.29,739100,48.29
2013-12-23,48.39,48.40,47.93,48.09,1971100,48.09
2013-12-20,48.07,48.41,48.06,48.13,2653900,48.13
2013-12-19,47.97,48.20,47.71,48.07,1372300,48.07
2013-12-18,47.21,48.15,46.85,48.07,2806500,48.07
2013-12-17,47.29,47.50,47.04,47.21,1549300,47.21
2013-12-16,47.45,47.70,47.21,47.38,1194800,47.38
2013-12-13,47.44,47.56,47.17,47.25,1896600,47.25
2013-12-12,47.39,47.54,47.24,47.32,1708100,47.32
2013-12-11,47.86,48.13,47.28,47.37,1782000,47.37
2013-12-10,48.09,48.34,47.72,47.82,2044700,47.82
2013-12-09,48.08,48.36,48.02,48.31,1412000,48.31
2013-12-06,47.58,48.04,47.52,48.03,2188500,48.03
2013-12-05,47.09,47.50,47.03,47.20,2084000,47.20
2013-12-04,47.18,47.62,46.69,47.22,1832500,47.22
