Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,38.27,38.38,37.78,37.90,6324600,37.90
2013-12-31,38.32,38.54,38.20,38.39,10342600,38.39
2013-12-30,38.36,38.44,38.14,38.36,7086900,38.36
2013-12-27,38.36,38.46,38.21,38.31,4269500,38.31
2013-12-26,38.09,38.30,38.08,38.25,5246000,38.25
2013-12-24,38.21,38.44,38.05,38.08,10126100,38.08
2013-12-23,38.21,38.30,37.85,38.14,13530200,38.14
2013-12-20,38.33,38.58,38.16,38.57,16852000,38.09
2013-12-19,38.05,38.25,37.90,38.22,8964200,37.74
2013-12-18,37.56,38.17,37.19,38.16,12910600,37.69
2013-12-17,37.24,37.63,37.15,37.45,9325400,36.98
2013-12-16,37.14,37.34,37.07,37.24,7481400,36.78
2013-12-13,37.22,37.29,36.84,37.10,12439700,36.64
2013-12-12,37.58,37.74,37.10,37.20,9241400,36.74
2013-12-11,37.36,37.75,37.30,37.67,9825300,37.20
2013-12-10,37.58,37.63,37.10,37.32,7750300,36.86
2013-12-09,37.50,37.74,37.31,37.69,6813600,37.22
2013-12-06,37.22,37.46,37.18,37.46,6717600,36.99
2013-12-05,37.12,37.22,36.90,36.96,7198300,36.50
2013-12-04,37.00,37.33,36.92,37.23,7975500,36.77
