Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,116.12,117.50,115.97,116.31,2677100,116.31
2013-12-31,115.86,116.80,115.55,116.55,1344500,116.55
2013-12-30,115.65,116.48,115.17,115.80,1041600,115.80
2013-12-27,115.28,115.71,115.10,115.39,885600,115.39
2013-12-26,114.76,115.70,113.55,115.31,1112700,115.31
2013-12-24,114.52,114.95,114.11,114.93,615000,114.93
2013-12-23,114.20,114.79,113.61,114.56,1496200,114.56
2013-12-20,114.20,114.83,113.23,113.73,4114500,113.73
2013-12-19,113.47,114.09,113.05,113.81,1859900,113.81
2013-12-18,112.77,113.81,111.34,113.78,2588200,113.78
2013-12-17,111.04,112.43,111.04,112.40,2434900,112.40
2013-12-16,110.95,111.99,110.83,110.96,1725000,110.96
2013-12-13,111.23,111.45,110.08,110.66,2114400,110.66
2013-12-12,110.39,111.31,110.04,110.26,1983900,110.26
2013-12-11,110.90,112.44,110.44,110.67,2182900,110.67
2013-12-10,111.27,112.54,110.76,111.75,1974600,111.75
2013-12-09,111.75,112.07,111.44,111.65,1538000,111.65
2013-12-06,112.01,112.62,110.71,111.75,1483400,111.75
2013-12-05,111.97,112.00,110.43,110.97,2367300,110.97
2013-12-04,111.65,112.85,110.91,112.10,1745000,112.10
