Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,91.49,91.82,88.83,89.48,3031400,89.48
2013-12-31,89.18,91.95,89.13,91.73,3208700,91.73
2013-12-30,89.08,89.47,87.49,88.50,1622600,88.50
2013-12-27,89.88,89.88,87.77,89.13,1564400,89.13
2013-12-26,89.14,89.81,88.93,89.54,1309200,89.54
2013-12-24,88.72,89.38,88.06,89.35,896700,89.35
2013-12-23,88.19,89.95,87.84,88.77,2453300,88.77
2013-12-20,85.50,88.07,85.45,87.26,5753700,87.26
2013-12-19,87.14,87.80,85.51,85.71,3496500,85.71
2013-12-18,86.47,88.25,85.43,87.42,3986000,87.42
2013-12-17,86.33,86.98,85.38,86.09,2806100,86.09
2013-12-16,85.44,87.35,85.44,86.35,4594600,86.35
2013-12-13,85.80,86.01,83.52,85.21,3740300,85.21
2013-12-12,86.11,86.84,84.45,85.70,3435500,85.70
2013-12-11,87.20,87.49,85.16,85.98,3449700,85.98
2013-12-10,85.33,88.06,83.24,87.51,5409500,87.51
2013-12-09,87.77,88.81,85.42,85.55,6057200,85.55
2013-12-06,84.70,88.86,84.66,87.20,6246300,87.20
2013-12-05,84.47,85.40,82.82,83.85,5126800,83.85
2013-12-04,84.09,85.84,82.24,83.26,7329100,83.26
