Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,49.88,50.04,49.30,49.49,7886500,49.49
2013-12-31,49.74,50.08,49.53,50.05,8474900,50.05
2013-12-30,49.74,49.94,49.33,49.94,6321900,49.94
2013-12-27,49.77,49.90,49.53,49.79,4244300,49.79
2013-12-26,49.44,49.75,49.36,49.72,5069800,49.72
2013-12-24,49.43,49.67,49.23,49.41,4252900,49.41
2013-12-23,49.44,49.70,49.25,49.36,8263900,49.36
2013-12-20,48.86,49.45,48.63,49.32,16805100,49.32
2013-12-19,48.75,48.95,48.53,48.79,8762400,48.79
2013-12-18,47.87,48.93,47.65,48.90,13549700,48.90
2013-12-17,47.93,48.00,47.61,47.90,13900000,47.90
2013-12-16,48.30,48.59,47.89,48.09,11349200,48.09
2013-12-13,48.74,48.90,48.06,48.38,8396300,48.38
2013-12-12,48.57,48.78,48.03,48.32,11611700,48.32
2013-12-11,49.51,49.53,48.75,48.95,14504000,48.51
2013-12-10,49.28,49.55,49.10,49.43,10236400,48.99
2013-12-09,49.38,49.85,49.20,49.56,9331500,49.11
2013-12-06,49.13,49.57,48.96,49.39,7403200,48.95
2013-12-05,48.91,49.25,48.77,48.81,8721900,48.37
2013-12-04,49.60,49.65,48.82,49.31,11433000,48.87
