Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,35.25,35.33,34.72,34.91,3675600,34.91
2013-12-31,35.28,35.47,35.04,35.30,3072000,35.30
2013-12-30,35.70,35.77,34.98,35.20,3403700,35.20
2013-12-27,35.36,35.66,35.17,35.63,2558700,35.63
2013-12-26,35.34,35.36,35.17,35.28,1974000,35.28
2013-12-24,35.15,35.29,35.10,35.25,1806400,35.25
2013-12-23,35.36,35.59,35.15,35.18,3503100,35.18
2013-12-20,35.02,35.48,34.90,35.16,9070400,35.16
2013-12-19,34.47,35.00,34.42,34.91,8160900,34.91
2013-12-18,35.01,35.01,34.17,34.72,10090300,34.72
2013-12-17,35.52,35.57,34.83,34.85,6098200,34.85
2013-12-16,35.84,36.07,35.46,35.59,5292100,35.59
2013-12-13,36.15,36.24,35.74,35.80,5182500,35.80
2013-12-12,35.65,36.37,35.61,36.18,6730100,36.18
2013-12-11,36.47,36.47,35.48,35.69,9384400,35.69
2013-12-10,36.40,36.48,35.86,36.10,5759400,36.10
2013-12-09,36.55,36.77,35.99,36.41,5827100,36.41
2013-12-06,36.65,36.82,36.30,36.56,6198500,36.56
2013-12-05,36.68,36.73,36.01,36.31,6858800,36.31
2013-12-04,36.24,36.95,36.08,36.74,5978900,36.74
