Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,37.35,37.40,37.10,37.16,30632200,37.16
2013-12-31,37.40,37.58,37.22,37.41,17503500,37.41
2013-12-30,37.22,37.38,36.90,37.29,16279900,37.29
2013-12-27,37.58,37.62,37.17,37.29,14563000,37.29
2013-12-26,37.20,37.49,37.17,37.44,17612800,37.44
2013-12-24,36.72,37.17,36.64,37.08,14243000,37.08
2013-12-23,36.81,36.89,36.55,36.62,25100400,36.62
2013-12-20,36.20,36.93,36.19,36.80,62649100,36.80
2013-12-19,36.51,36.55,36.08,36.25,34160100,36.25
2013-12-18,36.36,36.60,35.53,36.58,63157700,36.58
2013-12-17,36.94,37.11,36.33,36.52,45564400,36.52
2013-12-16,36.73,37.00,36.54,36.89,31734200,36.89
2013-12-13,37.42,37.45,36.62,36.69,40066100,36.69
2013-12-12,37.64,37.64,37.18,37.22,35998100,37.22
2013-12-11,38.06,38.30,37.39,37.61,39534300,37.61
2013-12-10,38.61,38.90,38.02,38.11,37803700,38.11
2013-12-09,38.56,38.87,38.37,38.71,30267000,38.71
2013-12-06,38.42,38.55,37.99,38.36,36387200,38.36
2013-12-05,38.85,38.88,37.18,38.00,116305000,38.00
2013-12-04,38.21,38.98,38.12,38.94,51923600,38.94
