Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,67.37,67.49,65.84,66.33,1101600,66.33
2013-12-31,67.18,67.64,67.15,67.50,647800,67.50
2013-12-30,67.11,67.67,67.11,67.25,590900,67.25
2013-12-27,67.12,67.61,67.03,67.33,599800,67.33
2013-12-26,67.09,67.49,66.94,67.18,861100,67.18
2013-12-24,66.53,67.28,66.50,67.10,538500,67.10
2013-12-23,66.00,66.88,65.66,66.78,1744500,66.78
2013-12-20,65.65,66.08,65.59,65.61,3196500,65.61
2013-12-19,66.06,66.35,65.82,65.85,2152300,65.85
2013-12-18,65.44,66.17,64.99,66.16,1015300,66.16
2013-12-17,65.09,65.79,64.84,65.52,1175100,65.52
2013-12-16,65.05,65.50,64.84,65.36,1154900,65.36
2013-12-13,64.85,65.23,64.61,65.05,1233600,65.05
2013-12-12,64.40,65.10,64.21,64.86,1334700,64.86
2013-12-11,64.83,65.42,64.55,64.60,1150900,64.60
2013-12-10,65.51,66.09,65.13,65.41,1431100,65.10
2013-12-09,66.02,66.26,65.65,65.79,923100,65.48
2013-12-06,65.59,66.33,65.41,66.18,1131900,65.87
2013-12-05,64.75,65.57,64.70,65.23,1084800,64.92
2013-12-04,65.37,65.70,64.63,64.93,1357400,64.62
