Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,116.38,116.40,114.86,115.06,1069000,115.06
2013-12-31,116.31,117.29,116.29,116.42,549200,116.42
2013-12-30,116.12,116.42,115.67,116.33,562600,116.33
2013-12-27,116.40,116.45,115.62,116.07,379100,116.07
2013-12-26,115.89,116.51,114.93,115.92,740800,115.92
2013-12-24,115.32,115.99,115.16,115.74,167300,115.74
2013-12-23,115.31,115.78,114.47,115.33,586300,115.33
2013-12-20,114.19,114.76,113.34,114.34,947300,114.34
2013-12-19,114.05,114.07,113.06,113.73,1590300,113.73
2013-12-18,114.03,114.45,111.57,114.14,2252600,114.14
2013-12-17,115.40,115.50,112.65,113.73,3079100,113.73
2013-12-16,113.94,115.60,113.83,115.16,986200,115.16
2013-12-13,114.12,114.73,113.43,113.75,1084700,113.75
2013-12-12,113.78,114.54,113.32,114.00,759200,114.00
2013-12-11,114.48,114.81,113.48,113.81,1057200,113.81
2013-12-10,114.42,114.79,113.57,114.25,926200,114.25
2013-12-09,114.78,115.40,114.25,114.82,1016100,114.82
2013-12-06,113.89,114.58,113.52,114.30,994700,114.30
2013-12-05,113.23,113.71,112.61,112.73,925200,112.73
2013-12-04,113.29,114.77,112.84,113.41,553700,113.41
