Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,43.38,43.42,42.55,42.58,2625300,42.58
2013-12-31,43.26,43.57,42.98,43.40,1930900,43.40
2013-12-30,42.77,43.01,42.62,42.91,1372000,42.91
2013-12-27,42.92,42.93,42.57,42.78,1535500,42.78
2013-12-26,42.55,42.92,42.34,42.82,1171400,42.82
2013-12-24,42.72,42.81,42.31,42.57,856200,42.57
2013-12-23,42.93,42.93,42.33,42.72,2517400,42.72
2013-12-20,42.53,43.10,42.28,42.51,5997400,42.51
2013-12-19,41.84,42.60,41.79,42.53,3146300,42.53
2013-12-18,42.00,42.89,41.55,42.84,3043700,42.84
2013-12-17,41.79,41.98,41.41,41.86,3377400,41.86
2013-12-16,42.03,42.62,41.86,41.90,3521200,41.90
2013-12-13,42.01,42.25,41.67,41.78,2999100,41.78
2013-12-12,41.36,42.17,41.26,41.86,3993900,41.86
2013-12-11,42.75,42.80,41.29,41.42,6107600,41.42
2013-12-10,43.87,43.98,42.06,42.61,8075100,42.61
2013-12-09,44.50,44.54,43.73,43.86,3606500,43.86
2013-12-06,43.87,44.27,43.62,44.14,2536200,44.14
2013-12-05,43.02,43.75,42.68,43.35,4240000,43.35
2013-12-04,42.97,43.33,42.55,42.97,4245600,42.97
