Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,67.86,67.95,66.11,66.59,2281300,66.59
2013-12-31,67.47,68.23,66.76,68.11,1624300,68.11
2013-12-30,68.32,68.73,67.06,67.17,1452000,67.17
2013-12-27,68.00,68.47,67.70,68.21,1107100,68.21
2013-12-26,68.04,68.34,67.73,68.05,674300,68.05
2013-12-24,67.62,68.05,67.28,67.92,695800,67.92
2013-12-23,68.50,68.83,67.51,67.62,2266300,67.62
2013-12-20,68.03,68.75,67.88,67.94,3057500,67.94
2013-12-19,66.63,68.16,66.57,67.87,2349700,67.87
2013-12-18,67.92,67.98,65.79,67.45,4136800,67.45
2013-12-17,69.87,69.88,67.57,67.61,3601800,67.61
2013-12-16,68.97,69.66,68.70,69.40,2026200,69.40
2013-12-13,68.56,68.78,67.59,68.68,2266900,68.68
2013-12-12,68.24,69.24,67.59,68.68,2102700,68.68
2013-12-11,69.42,69.67,67.90,68.16,2329000,68.16
2013-12-10,68.39,69.76,68.31,69.48,2432000,69.48
2013-12-09,69.40,69.50,67.61,68.59,3781200,68.59
2013-12-06,69.74,69.89,69.19,69.50,2700500,69.50
2013-12-05,69.00,69.85,68.79,69.04,2373000,69.04
2013-12-04,70.25,70.74,69.31,69.64,3141900,69.64
