Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,16.92,17.13,16.80,16.91,4536900,16.91
2013-12-31,16.85,17.05,16.78,16.99,2647600,16.99
2013-12-30,16.83,16.96,16.78,16.87,3287100,16.87
2013-12-27,16.45,16.92,16.41,16.84,3459300,16.84
2013-12-26,16.38,16.47,16.30,16.39,1525300,16.39
2013-12-24,16.23,16.50,16.21,16.48,918000,16.48
2013-12-23,16.35,16.48,16.23,16.24,2390800,16.24
2013-12-20,16.21,16.41,16.15,16.26,4811400,16.26
2013-12-19,15.84,16.17,15.73,16.15,3697500,16.15
2013-12-18,15.81,15.98,15.66,15.92,3168400,15.92
2013-12-17,15.79,15.87,15.63,15.77,3196800,15.77
2013-12-16,15.71,15.95,15.68,15.80,4086800,15.80
2013-12-13,15.55,15.77,15.32,15.72,3786200,15.72
2013-12-12,15.44,15.73,15.43,15.53,3881100,15.53
2013-12-11,15.82,15.87,15.41,15.45,3307400,15.45
2013-12-10,15.96,16.20,15.83,15.83,4047700,15.83
2013-12-09,15.72,15.96,15.65,15.93,3488600,15.93
2013-12-06,16.33,16.40,15.63,15.75,5240500,15.75
2013-12-05,16.84,16.84,16.09,16.13,5836800,16.09
2013-12-04,16.72,16.87,16.48,16.82,4037300,16.78
