Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,39.89,39.96,39.15,39.20,1051300,39.20
2013-12-31,39.96,40.15,39.62,39.80,555600,39.80
2013-12-30,39.81,39.97,39.61,39.83,615800,39.83
2013-12-27,39.97,40.13,39.76,39.92,516200,39.92
2013-12-26,40.12,40.23,39.82,39.98,514500,39.98
2013-12-24,39.72,39.96,39.32,39.91,348000,39.91
2013-12-23,39.37,39.85,39.36,39.76,879300,39.76
2013-12-20,39.60,40.08,39.39,39.96,1700100,39.96
2013-12-19,39.45,39.58,39.23,39.46,860900,39.46
2013-12-18,39.25,39.60,38.54,39.60,1611700,39.60
2013-12-17,38.72,39.33,38.72,39.31,1048800,39.31
2013-12-16,38.73,38.96,38.47,38.72,1170000,38.72
2013-12-13,38.96,38.97,38.55,38.55,969700,38.55
2013-12-12,38.74,39.02,38.53,38.79,1453000,38.79
2013-12-11,38.78,39.00,38.62,38.71,1139100,38.71
2013-12-10,38.82,39.01,38.45,38.89,1082900,38.76
2013-12-09,39.01,39.12,38.71,38.91,1202400,38.78
2013-12-06,39.27,39.34,38.21,38.88,2022100,38.75
2013-12-05,39.58,39.88,38.82,38.86,1653100,38.73
2013-12-04,38.99,40.38,38.74,39.95,2418400,39.82
