Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,37.11,37.57,36.57,36.63,2649900,36.63
2013-12-31,36.67,37.49,36.57,37.47,2024400,37.47
2013-12-30,36.93,37.27,36.41,36.50,1974600,36.50
2013-12-27,36.60,37.05,36.51,36.97,1742800,36.97
2013-12-26,36.89,37.00,36.47,36.54,1465000,36.54
2013-12-24,36.21,36.93,36.11,36.70,1919400,36.70
2013-12-23,36.51,36.69,36.08,36.11,2448200,36.11
2013-12-20,36.20,36.81,36.15,36.32,5517700,36.32
2013-12-19,36.76,36.86,36.23,36.50,3353500,36.50
2013-12-18,36.77,36.89,35.87,36.69,6185600,36.69
2013-12-17,37.01,37.14,36.46,36.90,2801000,36.90
2013-12-16,36.70,37.16,36.57,37.08,3676700,37.08
2013-12-13,37.03,37.23,36.28,36.55,3399000,36.55
2013-12-12,36.77,37.17,36.52,37.04,3434200,37.04
2013-12-11,37.88,37.96,36.81,36.91,3874700,36.91
2013-12-10,38.13,38.27,37.85,37.95,1841700,37.95
2013-12-09,37.85,38.39,37.74,38.21,1869900,38.21
2013-12-06,38.01,38.11,37.59,37.85,2263400,37.85
2013-12-05,38.16,38.22,37.65,37.69,2917900,37.69
2013-12-04,38.42,38.67,37.95,38.36,2307000,38.36
