Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,85.39,85.48,84.22,84.25,2426600,84.25
2013-12-31,85.31,85.84,85.00,85.62,1352800,85.62
2013-12-30,84.57,85.17,84.56,85.05,1091300,85.05
2013-12-27,84.67,85.06,84.39,84.70,974100,84.70
2013-12-26,84.69,84.80,84.23,84.59,1181100,84.59
2013-12-24,84.49,84.95,84.05,84.73,1041400,84.73
2013-12-23,85.30,85.37,84.61,84.70,1800700,84.70
2013-12-20,83.81,85.42,83.75,84.82,3952300,84.82
2013-12-19,83.24,83.98,82.41,83.73,2149400,83.73
2013-12-18,82.87,83.93,81.52,83.68,3300000,83.68
2013-12-17,82.49,83.18,82.40,82.63,2037100,82.63
2013-12-16,83.22,83.82,82.66,82.86,2138500,82.86
2013-12-13,82.86,83.17,82.30,82.71,2082700,82.71
2013-12-12,82.62,83.47,82.48,82.76,2974800,82.76
2013-12-11,82.47,83.17,81.93,82.40,2609400,82.40
2013-12-10,84.17,84.27,82.79,82.84,3197800,82.84
2013-12-09,84.31,84.44,83.79,84.11,2054400,84.11
2013-12-06,84.23,84.70,83.92,84.63,2643800,84.63
2013-12-05,84.05,84.70,83.51,83.59,2649500,83.59
2013-12-04,83.70,84.76,83.53,84.21,2155200,84.21
