Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,366.81,367.58,360.80,362.82,1760800,362.82
2013-12-31,365.50,369.15,363.63,368.17,1502400,368.17
2013-12-30,367.62,369.54,359.04,366.99,2153600,366.99
2013-12-27,377.11,378.75,365.81,367.50,2421200,367.50
2013-12-26,378.11,380.91,375.83,376.93,1752700,376.93
2013-12-24,380.76,383.96,377.48,378.39,796800,378.39
2013-12-23,378.69,383.43,376.63,380.58,1803500,380.58
2013-12-20,376.50,379.69,374.34,375.67,2688200,375.67
2013-12-19,374.20,379.86,373.35,376.74,1978500,376.74
2013-12-18,373.86,377.00,366.51,376.24,2840200,376.24
2013-12-17,366.75,377.70,366.27,374.87,2635500,374.87
2013-12-16,369.98,371.00,364.25,366.31,1987300,366.31
2013-12-13,376.15,377.00,368.81,368.97,2550700,368.97
2013-12-12,363.67,374.84,363.55,373.33,3045500,373.33
2013-12-11,364.37,371.16,362.22,363.98,2866700,363.98
2013-12-10,355.00,364.44,353.32,363.10,2012800,363.10
2013-12-09,355.17,359.87,353.61,355.67,1674100,355.67
2013-12-06,361.04,361.33,352.00,354.44,1725100,354.44
2013-12-05,357.80,361.13,353.39,358.06,1970500,358.06
2013-12-04,360.59,368.65,356.25,356.27,2770800,356.27
