Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,24.60,24.70,24.12,24.37,2507900,24.37
2013-12-31,23.94,24.80,23.80,24.63,2973100,24.63
2013-12-30,24.55,24.84,23.99,24.03,1363400,24.03
2013-12-27,24.10,24.76,24.08,24.54,1576900,24.54
2013-12-26,24.12,24.26,23.92,24.07,979000,24.07
2013-12-24,23.93,24.20,23.90,24.13,511100,24.13
2013-12-23,24.11,24.30,24.02,24.12,1894100,24.12
2013-12-20,23.98,24.25,23.83,23.98,2955300,23.98
2013-12-19,23.12,24.07,23.12,23.85,3669400,23.85
2013-12-18,23.30,23.41,22.79,23.28,2536200,23.28
2013-12-17,23.05,23.18,22.82,23.15,2409700,23.15
2013-12-16,23.43,23.55,22.95,23.01,3320200,23.01
2013-12-13,23.42,23.58,22.86,23.36,2807400,23.36
2013-12-12,23.73,23.89,23.34,23.52,3270200,23.52
2013-12-11,23.75,24.77,23.75,23.85,5802400,23.85
2013-12-10,24.33,24.58,23.67,23.71,5181900,23.71
2013-12-09,26.48,26.59,23.85,24.33,12660700,24.33
2013-12-06,28.01,28.04,26.34,26.43,4382600,26.43
2013-12-05,28.23,28.35,27.54,27.66,2821000,27.66
2013-12-04,28.29,28.59,28.02,28.39,1771200,28.39
