Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,32.84,32.91,32.11,32.29,2244800,32.29
2013-12-31,32.72,32.95,32.68,32.88,1363600,32.88
2013-12-30,32.68,32.94,32.53,32.64,1678900,32.64
2013-12-27,32.59,33.03,32.53,32.64,1853300,32.64
2013-12-26,32.77,32.83,32.43,32.47,1706100,32.47
2013-12-24,32.59,32.78,32.32,32.76,896500,32.76
2013-12-23,33.19,33.19,32.39,32.57,3037100,32.57
2013-12-20,32.02,33.48,31.84,32.86,10840900,32.86
2013-12-19,31.47,31.56,31.10,31.50,2123700,31.50
2013-12-18,31.19,31.69,30.71,31.61,2129700,31.61
2013-12-17,31.07,31.19,30.91,31.06,1972400,31.06
2013-12-16,31.02,31.27,30.96,31.08,1483600,31.08
2013-12-13,31.00,31.08,30.83,30.94,1444200,30.94
2013-12-12,30.79,31.23,30.70,30.98,1959200,30.98
2013-12-11,31.21,31.21,30.73,30.80,1525300,30.80
2013-12-10,31.44,31.47,31.02,31.09,1676600,31.09
2013-12-09,31.60,31.70,31.38,31.46,1868900,31.46
2013-12-06,31.45,31.69,31.34,31.56,1871300,31.56
2013-12-05,31.69,31.88,31.29,31.31,3226400,31.31
2013-12-04,31.56,31.80,31.31,31.77,3161400,31.77
