Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,78.15,78.83,77.93,78.24,2659300,78.24
2013-12-31,78.77,78.95,78.35,78.64,2053100,78.64
2013-12-30,77.92,78.89,77.92,78.74,2144500,78.74
2013-12-27,78.75,79.01,78.03,78.16,2320400,78.16
2013-12-26,77.74,78.46,77.70,78.19,2304900,78.19
2013-12-24,77.22,77.80,77.21,77.66,1391300,77.66
2013-12-23,77.09,77.44,76.69,77.11,4688400,77.11
2013-12-20,77.44,77.70,76.64,77.34,10221300,77.34
2013-12-19,78.57,78.75,77.76,78.26,5147300,78.26
2013-12-18,77.00,78.58,76.95,78.55,5407200,78.55
2013-12-17,76.94,77.25,76.40,76.76,6990300,76.76
2013-12-16,76.91,77.10,76.28,76.44,4865500,76.44
2013-12-13,76.35,76.79,76.24,76.40,3781100,76.40
2013-12-12,76.92,76.92,75.42,76.23,5413000,76.23
2013-12-11,78.92,79.02,76.73,76.84,6655800,76.60
2013-12-10,79.35,79.66,79.11,79.22,2696900,78.97
2013-12-09,79.93,80.26,79.67,79.78,2149600,79.53
2013-12-06,79.62,79.89,79.26,79.86,1947000,79.61
2013-12-05,78.99,79.34,78.63,78.95,2746700,78.70
2013-12-04,78.90,79.18,78.26,78.82,2416600,78.57
