Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,114.18,114.49,112.76,113.23,1083600,113.23
2013-12-31,114.25,114.78,113.85,114.61,965800,114.61
2013-12-30,114.72,115.07,113.52,113.93,725900,113.93
2013-12-27,115.52,116.19,114.12,114.70,905300,114.70
2013-12-26,114.45,115.88,114.37,115.32,981100,115.32
2013-12-24,112.56,114.30,112.56,114.22,570600,114.22
2013-12-23,113.00,113.26,112.04,112.53,1140500,112.53
2013-12-20,110.66,113.05,110.31,112.26,3552100,112.26
2013-12-19,111.45,111.85,110.17,110.55,1374500,110.55
2013-12-18,109.93,111.52,108.47,111.48,2067500,111.48
2013-12-17,109.82,110.14,109.34,109.57,1194000,109.57
2013-12-16,108.96,110.00,108.42,109.66,1333000,109.66
2013-12-13,108.16,109.24,107.79,108.92,899400,108.92
2013-12-12,107.65,108.32,107.21,108.03,1881600,108.03
2013-12-11,110.29,110.50,107.22,107.52,2031100,107.52
2013-12-10,109.85,110.54,109.56,110.13,1074800,110.13
2013-12-09,110.18,110.35,109.16,109.94,1312100,109.94
2013-12-06,110.07,110.35,109.24,110.26,1916900,110.26
2013-12-05,110.08,111.17,109.43,109.54,1239500,109.54
2013-12-04,111.99,112.76,109.66,110.49,1799800,110.49
