Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,92.33,92.59,91.07,91.31,1319900,91.31
2013-12-31,92.10,93.03,92.05,92.83,892100,92.83
2013-12-30,92.31,92.70,91.74,91.96,855500,91.96
2013-12-27,92.96,93.11,92.11,92.33,743400,92.33
2013-12-26,92.40,93.17,92.31,92.87,1054100,92.87
2013-12-24,91.79,92.40,91.69,92.20,414300,92.20
2013-12-23,91.97,92.34,91.64,91.83,1695600,91.83
2013-12-20,90.47,92.00,90.28,91.32,2850100,91.32
2013-12-19,90.35,90.53,89.50,90.51,1453600,90.51
2013-12-18,89.26,90.79,88.68,90.74,1472900,90.74
2013-12-17,89.35,89.60,88.90,89.16,1790200,89.16
2013-12-16,88.83,89.84,88.71,89.41,1408000,89.41
2013-12-13,87.71,88.57,87.49,87.97,765400,87.97
2013-12-12,87.74,88.04,87.36,87.51,1343900,87.51
2013-12-11,89.48,89.77,87.97,88.06,1670300,88.06
2013-12-10,90.49,90.96,89.69,89.78,1102500,89.78
2013-12-09,90.12,91.05,89.89,90.49,2520400,90.49
2013-12-06,89.04,89.75,88.75,89.67,1570400,89.67
2013-12-05,87.29,88.99,86.90,88.17,2381800,88.17
2013-12-04,87.53,88.20,86.55,87.19,2763400,87.19
