Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,61.76,61.95,60.67,60.89,1011100,60.89
2013-12-31,61.70,62.00,61.66,61.89,709000,61.89
2013-12-30,61.57,61.81,61.55,61.72,854700,61.72
2013-12-27,61.60,61.67,61.18,61.45,755700,61.45
2013-12-26,61.58,61.82,61.27,61.71,688200,61.71
2013-12-24,61.11,61.40,60.86,61.30,454400,61.30
2013-12-23,60.59,61.37,60.57,61.29,1446400,61.29
2013-12-20,59.64,60.94,59.45,60.81,3895700,60.81
2013-12-19,59.09,59.43,58.71,59.28,1209400,59.28
2013-12-18,57.47,59.40,57.30,59.37,1691100,59.37
2013-12-17,57.71,57.98,57.19,57.50,1024600,57.50
2013-12-16,57.96,58.39,57.68,57.82,1535600,57.82
2013-12-13,58.28,58.28,57.14,57.58,1616800,57.58
2013-12-12,57.29,57.55,56.66,57.14,1279300,57.14
2013-12-11,58.12,58.26,57.15,57.17,1702200,57.17
2013-12-10,58.59,59.10,58.23,58.27,1102200,58.27
2013-12-09,59.00,59.22,58.74,58.95,887800,58.95
2013-12-06,58.40,58.92,58.32,58.75,970000,58.75
2013-12-05,57.74,58.14,57.69,57.75,997000,57.75
2013-12-04,57.79,58.50,57.44,57.87,918700,57.87
