Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,15.92,15.98,15.72,15.86,6502300,15.86
2013-12-31,16.00,16.10,15.90,16.02,5894400,16.02
2013-12-30,15.77,15.98,15.75,15.97,6204500,15.97
2013-12-27,15.75,15.79,15.66,15.76,5274400,15.76
2013-12-26,15.88,15.93,15.63,15.67,4223000,15.67
2013-12-24,15.87,15.87,15.66,15.82,1990000,15.82
2013-12-23,15.78,15.91,15.65,15.78,4195700,15.78
2013-12-20,15.41,15.70,15.37,15.69,9552000,15.69
2013-12-19,15.30,15.40,15.20,15.38,6463600,15.38
2013-12-18,15.14,15.35,14.95,15.32,10655800,15.32
2013-12-17,15.03,15.15,14.90,15.11,6852600,15.11
2013-12-16,15.03,15.17,15.02,15.04,5940500,15.04
2013-12-13,15.14,15.25,15.00,15.02,4614700,15.02
2013-12-12,15.36,15.44,15.08,15.11,6468100,15.11
2013-12-11,15.59,15.61,15.38,15.41,10252300,15.41
2013-12-10,15.21,15.63,15.19,15.56,13106700,15.56
2013-12-09,15.47,15.52,15.18,15.21,9630500,15.21
2013-12-06,15.89,15.89,15.43,15.47,7025000,15.47
2013-12-05,15.99,15.99,15.68,15.70,6795300,15.70
2013-12-04,15.70,15.99,15.66,15.96,12329400,15.96
