Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,32.40,32.40,31.99,32.18,1563700,32.18
2013-12-31,32.42,32.54,32.27,32.41,1033500,32.41
2013-12-30,32.24,32.36,32.13,32.35,846100,32.35
2013-12-27,32.27,32.38,32.13,32.20,633300,32.20
2013-12-26,32.26,32.37,32.14,32.25,688500,32.25
2013-12-24,31.90,32.20,31.90,32.11,535600,32.11
2013-12-23,31.86,31.95,31.62,31.87,1165500,31.87
2013-12-20,32.18,32.25,31.63,31.64,4303000,31.64
2013-12-19,31.78,32.18,31.78,32.10,2625700,32.10
2013-12-18,31.25,31.93,31.03,31.90,1924500,31.90
2013-12-17,31.20,31.30,30.97,31.11,1944200,31.11
2013-12-16,30.71,31.25,30.65,31.08,1978100,31.08
2013-12-13,31.10,31.33,30.69,30.76,2057900,30.76
2013-12-12,30.99,31.38,30.96,31.10,2429700,31.10
2013-12-11,31.17,31.27,30.87,31.01,2458000,31.01
2013-12-10,31.42,32.25,31.02,31.21,3639200,31.21
2013-12-09,31.00,31.27,30.85,30.93,2267100,30.93
2013-12-06,30.56,30.96,30.56,30.91,1913300,30.91
2013-12-05,30.40,30.64,30.24,30.31,3431900,30.31
2013-12-04,29.89,30.49,29.66,30.40,2808000,30.40
